Track Name,Artist,Album,Release Date,Popularity,Duration (minutes)
Falling,Trevor Daniel,Nicotine,2020-03-26,0,2.65635
Astronaut In The Ocean,Masked Wolf,Astronaut In The Ocean (International Remixes),2019-01-01,49,2.213
Let Me Down Slowly,Alec Benjamin,Narrated For You,2018-11-16,79,2.82255
2002,Anne-Marie,Speak Your Mind (Deluxe),2018-04-27,75,3.116433333333333
Shape of You,Ed Sheeran,÷ (Deluxe),2017-03-03,83,3.8952
Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",VIDA,2019-02-01,66,3.8402166666666666
Believer,Imagine Dragons,Evolve,2017-06-23,82,3.4057666666666666
Faded,Alan Walker,Different World,2018-12-14,74,3.5351
Mood (feat. iann dior),"24kGoldn, iann dior",El Dorado,2021-03-26,74,2.342216666666667
lovely (with Khalid),"Billie Eilish, Khalid",lovely (with Khalid),2018-04-19,83,3.3364166666666666
Memories,Maroon 5,Memories,2019-09-20,26,3.1581
There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate (Deluxe),2017-04-20,81,3.324
Cheap Thrills (feat. Sean Paul),"Sia, Sean Paul",This Is Acting,2016-02-18,70,3.7468833333333333
Beautiful (feat. Camila Cabello),"Bazzi, Camila Cabello",Beautiful (feat. Camila Cabello),2018-08-02,66,3.0
I'm a Mess,Bebe Rexha,Expectations,2018-06-22,65,3.25865
None Of My Business,Cher Lloyd,None Of My Business,2018-10-19,53,3.0667333333333335
Blinding Lights,The Weeknd,After Hours,2020-03-20,84,3.334
Don't Start Now,Dua Lipa,Future Nostalgia,2020-03-27,77,3.0548333333333333
Break My Heart,Dua Lipa,Future Nostalgia,2020-03-27,71,3.697
I Like Him,Princess Nokia,Everything Sucks,2020-02-26,53,2.20755
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",Future Nostalgia,2020-03-27,76,3.3844
MONTERO (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name),2021-03-31,66,2.2979166666666666
Kiss Me More (feat. SZA),"Doja Cat, SZA",Kiss Me More (feat. SZA),2021-04-09,56,3.4811
Liar,Camila Cabello,Romance,2019-12-06,58,3.450633333333333
New Rules,Dua Lipa,Dua Lipa (Complete Edition),2015,56,3.4886666666666666
Can We Kiss Forever?,"Kina, Adriana Proenza",Can We Kiss Forever?,2018-08-31,67,3.1321833333333333
Kings & Queens,Ava Max,Heaven & Hell,2020-09-18,75,2.7066333333333334
The Middle,"Zedd, Maren Morris, Grey",The Middle,2018-01-23,74,3.078866666666667
Meant to Be (feat. Florida Georgia Line),"Bebe Rexha, Florida Georgia Line",Expectations,2018-06-22,67,2.73675
Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),2020-05-01,67,2.87935
Sucker,Jonas Brothers,Happiness Begins,2019-06-07,73,3.0171
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,77,3.234783333333333
What If I Told You That I Love You,Ali Gatie,The Idea Of Her,2021-03-26,60,3.2277833333333334
Dancing in My Room,347aidan,Dancing in My Room,2020-10-26,61,3.0023
Heartbreak Anniversary,GIVĒON,TAKE TIME,2020-03-27,76,3.3061666666666665
Send My Love (To Your New Lover),Adele,25,2015-11-20,71,3.717966666666667
Say My Name,"David Guetta, Bebe Rexha, J Balvin",7,2018-09-14,62,3.3157666666666668
I Like It,"Cardi B, Bad Bunny, J Balvin",Invasion of Privacy,2018-04-06,72,4.223166666666667
Happier,"Marshmello, Bastille",Happier,2018-08-17,24,3.571483333333333
Hate Me (with Juice WRLD),"Ellie Goulding, Juice WRLD",Hate Me (with Juice WRLD),2019-06-26,65,3.1037166666666667
It's You,Ali Gatie,YOU,2019-11-08,70,3.543433333333333
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta, AFROJACK, Bebe Rexha, Nicki Minaj",Listen,2014-11-10,70,3.2093333333333334
WITHOUT YOU,The Kid LAROI,F*CK LOVE (SAVAGE),2020-11-06,3,2.6897333333333333
Goodbyes (feat. Young Thug),"Post Malone, Young Thug",Hollywood's Bleeding,2019-09-06,71,2.9142166666666665
Into Your Arms (feat. Ava Max),"Witt Lowry, Ava Max",Into Your Arms (feat. Ava Max),2018-06-08,67,3.1003666666666665
Play Date,Melanie Martinez,Cry Baby (Deluxe Edition),2015-08-14,69,2.9977833333333335
My Oh My (feat. DaBaby),"Camila Cabello, DaBaby",Romance,2019-12-06,69,2.8457666666666666
What If (I Told You I Like You),"Johnny Orlando, kenzie",What If (I Told You I Like You),2018-05-18,59,3.6531
I Need Your Love,"Madilyn Bailey, Jake Coco","The Covers, Vol. 6",2013-09-13,0,3.32995
good 4 u,Olivia Rodrigo,SOUR,2021-05-21,78,2.9691
Somebody To You,The Vamps,Meet The Vamps,2014-01-01,67,3.08495
What A Shame,Leyla Blue,What A Shame,2020-12-09,56,2.953333333333333
No Lie,"Sean Paul, Dua Lipa",Mad Love The Prequel,2018-06-29,78,3.6862666666666666
Build a Bitch,Bella Poarch,Build a Bitch,2021-05-14,62,2.0462
Arcade,Duncan Laurence,Arcade,2019-03-07,71,3.0604
Last Hurrah,Bebe Rexha,Last Hurrah,2019-02-15,52,2.50555
telepatía,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,2020-12-04,78,2.66985
Dinero,Trinidad Cardona,Dinero,2018-02-02,62,2.6813333333333333
NO,Meghan Trainor,Thank You (Deluxe Version),2017-05-12,69,3.5584333333333333
Don't Go Yet,Camila Cabello,Don't Go Yet,2021-07-23,61,2.7473666666666667
Armor,Nightcore Dreams,Armor,2017-07-19,36,3.067633333333333
My Dilemma,Selena Gomez & The Scene,When The Sun Goes Down,2011-01-01,45,3.1642166666666665
Look What You Made Me Do,Taylor Swift,reputation,2017-11-10,75,3.530883333333333
Love Story,Taylor Swift,Fearless (Big Machine Radio Release Special),2008-11-11,69,3.9377666666666666
Rockabye (feat. Sean Paul & Anne-Marie),"Clean Bandit, Sean Paul, Anne-Marie",Speak Your Mind (Deluxe),2018-04-27,57,4.174266666666667
Bad Blood,Taylor Swift,1989,2014-01-01,66,3.532216666666667
Better Now,Post Malone,beerbongs & bentleys,2018-04-27,74,3.854433333333333
Ready or Not,Bridgit Mendler,Hello My Name Is...,2012-01-01,66,3.3491
Blank Space,Taylor Swift,1989 (Deluxe),2014-01-01,77,3.863766666666667
Treat You Better,Shawn Mendes,Illuminate,2017-04-20,80,3.1328833333333335
In the Name of Love,"Martin Garrix, Bebe Rexha",In the Name of Love,2016-07-29,74,3.2617666666666665
Little Do You Know,Alex & Sierra,It's About Us,2014-10-06,66,3.0866666666666664
SugarCrash!,ElyOtto,SugarCrash!,2020-08-25,64,1.3346666666666667
